Lot #,VIN,Location
,,
61,4HXSC1626CC160143,"1099 West Ropes Avenue, Woodlake, CA, 93286"
62,4HXSC1627CC160135,"1099 West Ropes Avenue, Woodlake, CA, 93286"
64,4HXSC1621CC160132,"1099 West Ropes Avenue, Woodlake, CA, 93286"
65,4HXSC1625CC160148,"1099 West Ropes Avenue, Woodlake, CA, 93286
"
66,4HXSC1620CC160137,"1099 West Ropes Avenue, Woodlake, CA, 93286
"
67,"4HXSC1620CC160140
","1099 West Ropes Avenue, Woodlake, CA, 93286
"
68,4HXSC1728FC172264,"1099 West Ropes Avenue, Woodlake, CA, 93286"
69,4HXSC1723GC183660,"1099 West Ropes Avenue, Woodlake, CA, 93286"
70,4HXSC172XGC183722,"1099 West Ropes Avenue, Woodlake, CA, 93286"
71,4HXSC1721GC183642,"1099 West Ropes Avenue, Woodlake, CA, 93286
"
72,4HXSC1627CC162385,"1099 West Ropes Avenue, Woodlake, CA, 93286
"
73,4HXSC1626CC162393,"1099 West Ropes Avenue, Woodlake, CA, 93286
"
74,4HXSC1628CC162427,"1099 West Ropes Avenue, Woodlake, CA, 93286"
75,4HXSC1622CC162388,"1099 West Ropes Avenue, Woodlake, CA, 93286"
76,4HXSC162XDC165234,"1099 West Ropes Avenue, Woodlake, CA, 93286"
77,4HXSC1627DC165207,"1099 West Ropes Avenue, Woodlake, CA, 93286
"
78,4HXSC1623DC165222,"1099 West Ropes Avenue, Woodlake, CA, 93286
"
79,4HXSC1627CC162435,"1099 West Ropes Avenue, Woodlake, CA, 93286
"
80,4HXSC1722FC180117,"1099 West Ropes Avenue, Woodlake, CA, 93286"
81,4HXSC1629DC165242,"1099 West Ropes Avenue, Woodlake, CA, 93286"
82,4HXSC1623CC162450,"1099 West Ropes Avenue, Woodlake, CA, 93286"
83,4HXSC1621CC162432,"1099 West Ropes Avenue, Woodlake, CA, 93286
"
84,4HXSC1623DC165253,"1099 West Ropes Avenue, Woodlake, CA, 93286
"
85,4HXSC1620DC165243,"1099 West Ropes Avenue, Woodlake, CA, 93286
"
86,4HXSC1626DC165246,"1099 West Ropes Avenue, Woodlake, CA, 93286"
87,4HXSC1627DC165286,"1099 West Ropes Avenue, Woodlake, CA, 93286"
88,4HXSC1628CC162363,"1099 West Ropes Avenue, Woodlake, CA, 93286"
89,4HXSC1629DC165273,"1099 West Ropes Avenue, Woodlake, CA, 93286
"
90,4HXSC1626DC165313,"1099 West Ropes Avenue, Woodlake, CA, 93286
"
91,4HXSC1628DC165247,"1099 West Ropes Avenue, Woodlake, CA, 93286
"
92,4HXSC1622DC165289,"1099 West Ropes Avenue, Woodlake, CA, 93286"
93,4HXSC1621DC165204,"1099 West Ropes Avenue, Woodlake, CA, 93286"
94,4HXSC1627DC165305,"1099 West Ropes Avenue, Woodlake, CA, 93286"
95,4HXSC1627DC165238,"1099 West Ropes Avenue, Woodlake, CA, 93286
"
96,4HXSC1623DC165950,"1099 West Ropes Avenue, Woodlake, CA, 93286
"
97,4HXSC1627DC165255,"1099 West Ropes Avenue, Woodlake, CA, 93286
"
98,4HXSC162XDC165265,"1099 West Ropes Avenue, Woodlake, CA, 93286
"
99,4HXSC162XCC162364,"1099 West Ropes Avenue, Woodlake, CA, 93286
"
100,4HXSC1622DC165213,"1099 West Ropes Avenue, Woodlake, CA, 93286"
101,4HXSC162XCC162414,"1099 West Ropes Avenue, Woodlake, CA, 93286"
102,4HXSC1625DC165187,"1099 West Ropes Avenue, Woodlake, CA, 93286"
105,4HXSC1629CC162372,"1099 West Ropes Avenue, Woodlake, CA, 93286
"
106,4HXSC1620DC165291,"1099 West Ropes Avenue, Woodlake, CA, 93286
"
107,4HXSC1620CC162437,"1099 West Ropes Avenue, Woodlake, CA, 93286
"
108,4HXSC1622DC165258,"1099 West Ropes Avenue, Woodlake, CA, 93286"
109,4HXSC1627DC165272,"1099 West Ropes Avenue, Woodlake, CA, 93286"
110,NO VIN,"1099 West Ropes Avenue, Woodlake, CA, 93286"
111,4HXSC1620DC165260,"1099 West Ropes Avenue, Woodlake, CA, 93286
"
114,4HXSC1625CC162448,"1099 West Ropes Avenue, Woodlake, CA, 93286
"
115,4HXSC1622CC162455,"1099 West Ropes Avenue, Woodlake, CA, 93286
"
116,4HXSC1628PC165278,"1099 West Ropes Avenue, Woodlake, CA, 93286"
117,4HXSC1625CC162448,"1099 West Ropes Avenue, Woodlake, CA, 93286"
118,4HXSC1722FC180067,"1099 West Ropes Avenue, Woodlake, CA, 93286"
119,4HXSC1726FC180220,"1099 West Ropes Avenue, Woodlake, CA, 93286
"
120,4HXSC1724FC180068,"1099 West Ropes Avenue, Woodlake, CA, 93286
"
121,4HXSC1729FC180101,"1099 West Ropes Avenue, Woodlake, CA, 93286
"
122,4HXSC1724FC180054,"1099 West Ropes Avenue, Woodlake, CA, 93286"
123,4HXSC1727FC180081,"1099 West Ropes Avenue, Woodlake, CA, 93286"
124,4HXSC1727FC178802,"1099 West Ropes Avenue, Woodlake, CA, 93286"
125,4HXSC1720FC178799,"1099 West Ropes Avenue, Woodlake, CA, 93286
"
126,4HXSC1721FC180111,"1099 West Ropes Avenue, Woodlake, CA, 93286
"
127,4HXSC1729FC180132,"1099 West Ropes Avenue, Woodlake, CA, 93286
"
128,4HXSC1729FC180129,"1099 West Ropes Avenue, Woodlake, CA, 93286"
129,4HXSC1724FC180118,"1099 West Ropes Avenue, Woodlake, CA, 93286"
130,4HXSC1720FC180133,"1099 West Ropes Avenue, Woodlake, CA, 93286"
131,4HXSC1728GC180221,"1099 West Ropes Avenue, Woodlake, CA, 93286
"
132,4HXSC172XGC183610,"1099 West Ropes Avenue, Woodlake, CA, 93286
"
133,4HXSC1720GC183731,"1099 West Ropes Avenue, Woodlake, CA, 93286
"
134,4HXSC1723GC183710,"1099 West Ropes Avenue, Woodlake, CA, 93286"
135,4HXSC1725GC183725,"1099 West Ropes Avenue, Woodlake, CA, 93286"
136,4HXSC1725GC183756,"1099 West Ropes Avenue, Woodlake, CA, 93286"
