,,,
Lot #,VIN,Location,
,,,https://industrialbid.com/m/view-auctions/catalog/id/5653?key=mobile%20solar%20generator
61,4HXSC1626CC160143,"1099 West Ropes Avenue, Woodlake, CA, 93286",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041525/DC_Solar_SCT_10_MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
62,4HXSC1627CC160135,"1099 West Ropes Avenue, Woodlake, CA, 93286",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041526/DC_Solar_SCT_10_MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
64,4HXSC1621CC160132,"1099 West Ropes Avenue, Woodlake, CA, 93286",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041528/DC_Solar_SCT_10_MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
65,4HXSC1625CC160148,"1099 West Ropes Avenue, Woodlake, CA, 93286
",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041529/DC_Solar_SCT_10_MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
66,4HXSC1620CC160137,"1099 West Ropes Avenue, Woodlake, CA, 93286
",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041555/DC_Solar_SCT_10_MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
67,"4HXSC1620CC160140
","1099 West Ropes Avenue, Woodlake, CA, 93286
",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041556/DC_Solar_SCT_10_MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
68,4HXSC1728FC172264,"1099 West Ropes Avenue, Woodlake, CA, 93286",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041412/DC_Solar_SCT_10_MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
69,4HXSC1723GC183660,"1099 West Ropes Avenue, Woodlake, CA, 93286",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041436/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
70,4HXSC172XGC183722,"1099 West Ropes Avenue, Woodlake, CA, 93286",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041437/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
71,4HXSC1721GC183642,"1099 West Ropes Avenue, Woodlake, CA, 93286
",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041438/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
72,4HXSC1627CC162385,"1099 West Ropes Avenue, Woodlake, CA, 93286
",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041460/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
73,4HXSC1626CC162393,"1099 West Ropes Avenue, Woodlake, CA, 93286
",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041461/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
74,4HXSC1628CC162427,"1099 West Ropes Avenue, Woodlake, CA, 93286",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041462/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
75,4HXSC1622CC162388,"1099 West Ropes Avenue, Woodlake, CA, 93286",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041463/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
76,4HXSC162XDC165234,"1099 West Ropes Avenue, Woodlake, CA, 93286",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041464/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
77,4HXSC1627DC165207,"1099 West Ropes Avenue, Woodlake, CA, 93286
",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041465/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
78,4HXSC1623DC165222,"1099 West Ropes Avenue, Woodlake, CA, 93286
",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041523/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
79,4HXSC1627CC162435,"1099 West Ropes Avenue, Woodlake, CA, 93286
",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041524/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
80,4HXSC1722FC180117,"1099 West Ropes Avenue, Woodlake, CA, 93286",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041535/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
81,4HXSC1629DC165242,"1099 West Ropes Avenue, Woodlake, CA, 93286",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041545/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
82,4HXSC1623CC162450,"1099 West Ropes Avenue, Woodlake, CA, 93286",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041546/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
83,4HXSC1621CC162432,"1099 West Ropes Avenue, Woodlake, CA, 93286
",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041547/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
84,4HXSC1623DC165253,"1099 West Ropes Avenue, Woodlake, CA, 93286
",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041548/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
85,4HXSC1620DC165243,"1099 West Ropes Avenue, Woodlake, CA, 93286
",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041549/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
86,4HXSC1626DC165246,"1099 West Ropes Avenue, Woodlake, CA, 93286",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041550/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
87,4HXSC1627DC165286,"1099 West Ropes Avenue, Woodlake, CA, 93286",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041551/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
88,4HXSC1628CC162363,"1099 West Ropes Avenue, Woodlake, CA, 93286",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041552/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
89,4HXSC1629DC165273,"1099 West Ropes Avenue, Woodlake, CA, 93286
",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041553/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
90,4HXSC1626DC165313,"1099 West Ropes Avenue, Woodlake, CA, 93286
",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041554/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
91,4HXSC1628DC165247,"1099 West Ropes Avenue, Woodlake, CA, 93286
",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041557/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
92,4HXSC1622DC165289,"1099 West Ropes Avenue, Woodlake, CA, 93286",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041558/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
93,4HXSC1621DC165204,"1099 West Ropes Avenue, Woodlake, CA, 93286",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041559/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
94,4HXSC1627DC165305,"1099 West Ropes Avenue, Woodlake, CA, 93286",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041560/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
95,4HXSC1627DC165238,"1099 West Ropes Avenue, Woodlake, CA, 93286
",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041561/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
96,4HXSC1623DC165950,"1099 West Ropes Avenue, Woodlake, CA, 93286
",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041562/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
97,4HXSC1627DC165255,"1099 West Ropes Avenue, Woodlake, CA, 93286
",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041563/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
98,4HXSC162XDC165265,"1099 West Ropes Avenue, Woodlake, CA, 93286
",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041564/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
99,4HXSC162XCC162364,"1099 West Ropes Avenue, Woodlake, CA, 93286
",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041565/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
100,4HXSC1622DC165213,"1099 West Ropes Avenue, Woodlake, CA, 93286",https://industrialbid.com/m/lot-details/index/catalog/5653/lot/1041566/DC_Solar_SCT_20__MSG?url=%2Fm%2Fview-auctions%2Fcatalog%2Fid%2F5653%3Fpage%3D1%26key%3Dmobile%2Bsolar%2Bgenerator
